CheckoutYear,MaterialType,Checkouts
2014,COMIC,
2014,(Other),9466
2014,TOTAL,2609700
2015,BOOK,3986983
2015,VIDEODISC,2040772
2015,EBOOK,1329606
2015,SOUNDDISC,787309
2015,AUDIOBOOK,468275
2015,VIDEOCASS,655
2015,SONG,241015
2015,MAGAZINE,68376
2015,MUSIC,51194
2015,SOUNDCASS,247
2015,MIXED,7215
2015,MOVIE,44576
2015,CR,5769
2015,"SOUNDDISC, VIDEODISC",10467
2015,VISUAL,6410
2015,REGPRINT,3086
2015,TELEVISION,15139
2015,SOUNDREC,5077
2015,VIDEO,3231
2015,COMIC,
2015,(Other),8777
2015,TOTAL,2729531
2016,BOOK,3892986
2016,VIDEODISC,1948754
2016,EBOOK,1436345
2016,SOUNDDISC,668507
2016,AUDIOBOOK,586391
2016,VIDEOCASS,544
2016,SONG,237579
2016,MAGAZINE,72971
2016,MUSIC,53842
2016,SOUNDCASS,220
2016,MIXED,12534
2016,MOVIE,50861
2016,CR,4548
2016,"SOUNDDISC, VIDEODISC",8613
2016,VISUAL,5405
2016,REGPRINT,5502
2016,TELEVISION,19471
2016,SOUNDREC,4602
2016,VIDEO,2359
2016,COMIC,1394
2016,(Other),7623
2016,TOTAL,2787319
2017,BOOK,3971593
2017,VIDEODISC,1852032
2017,EBOOK,1578697
2017,SOUNDDISC,602804
2017,AUDIOBOOK,730389
2017,VIDEOCASS,513
2017,SONG,217808
2017,MAGAZINE,67744
2017,MUSIC,57371
2017,SOUNDCASS,126
2017,MIXED,13632
2017,MOVIE,51337
2017,CR,3980
2017,"SOUNDDISC, VIDEODISC",7447
2017,VISUAL,878
2017,REGPRINT,7092
2017,TELEVISION,26200
2017,SOUNDREC,4384
2017,VIDEO,3004
2017,COMIC,27349
2017,(Other),7268
2017,TOTAL,2820433
2018,BOOK,3987569
2018,VIDEODISC,1534809
2018,EBOOK,1860638
2018,SOUNDDISC,512326
2018,AUDIOBOOK,983019
2018,VIDEOCASS,327
2018,SONG,52049
2018,MAGAZINE,74560
2018,MUSIC,27323
2018,SOUNDCASS,90
2018,MIXED,24581
2018,MOVIE,19611
2018,CR,3284
2018,"SOUNDDISC, VIDEODISC",5308
2018,VISUAL,349
2018,REGPRINT,14754
2018,TELEVISION,17447
2018,SOUNDREC,3315
2018,VIDEO,2447
2018,COMIC,17338
2018,(Other),8032
2018,TOTAL,2665098
2019,BOOK,3931688
2019,VIDEODISC,1341962
2019,EBOOK,2130439
2019,SOUNDDISC,426933
2019,AUDIOBOOK,1276883
2019,VIDEOCASS,143
2019,SONG,
2019,MAGAZINE,21139
2019,MUSIC,7616
2019,SOUNDCASS,49
2019,MIXED,21757
2019,MOVIE,
2019,CR,2715
2019,"SOUNDDISC, VIDEODISC",3834
2019,VISUAL,465
2019,REGPRINT,22166
2019,TELEVISION,
2019,SOUNDREC,2431
2019,VIDEO,2298
2019,COMIC,
2019,(Other),6565
2019,TOTAL,2589001
2020,BOOK,1241999
2020,VIDEODISC,361587
2020,EBOOK,2793961
2020,SOUNDDISC,116221
2020,AUDIOBOOK,1513625
2020,VIDEOCASS,17
2020,SONG,
2020,MAGAZINE,
2020,MUSIC,2404
2020,SOUNDCASS,9
2020,MIXED,9118
2020,MOVIE,
2020,CR,789
2020,"SOUNDDISC, VIDEODISC",1049
2020,VISUAL,111
2020,REGPRINT,7573
2020,TELEVISION,
2020,SOUNDREC,499
2020,VIDEO,2430
2020,COMIC,
2020,(Other),2325
2020,TOTAL,1721376
2021,BOOK,2266438
2021,VIDEODISC,483364
2021,EBOOK,2705503
2021,SOUNDDISC,173582
2021,AUDIOBOOK,1687686
2021,VIDEOCASS,14
2021,SONG,
2021,MAGAZINE,
2021,MUSIC,3225
2021,SOUNDCASS,16
2021,MIXED,10922
2021,MOVIE,
2021,CR,1028
2021,"SOUNDDISC, VIDEODISC",1569
2021,VISUAL,178
2021,REGPRINT,21296
2021,TELEVISION,
2021,SOUNDREC,611
2021,VIDEO,1192
2021,COMIC,
2021,(Other),4407
2021,TOTAL,2242272
2022,BOOK,2191182
2022,VIDEODISC,436593
2022,EBOOK,2034478
2022,SOUNDDISC,141465
2022,AUDIOBOOK,1430614
2022,VIDEOCASS,27
2022,SONG,
2022,MAGAZINE,
2022,MUSIC,3021
2022,SOUNDCASS,8
2022,MIXED,21331
2022,MOVIE,
2022,CR,819
2022,"SOUNDDISC, VIDEODISC",1243
2022,VISUAL,385
2022,REGPRINT,20238
2022,TELEVISION,
2022,SOUNDREC,600
2022,VIDEO,827
2022,COMIC,
2022,(Other),6022
2022,TOTAL,1900575
